nama,nomor_hp,email,alamat,kota,nik,tanggal_lahir,tanggal_update,total_belanja_juta,sumber
Siti Nur Aini,081234567001,siti.na@mail.com,Jl. Melati No. 12,Bandung,3273014501900001,15/01/1990,02/01/2026,12.5,Signup Form
Siti Nuraini,0812-3456-7001,siti.na@mail.com,Jl. Kenanga No. 5,Bandung,3273014501900001,15/01/1990,28/06/2026,8.2,CRM
Siti N. Aini,+6281234567001,,Jl. Kenanga No. 5,Bandung,,15/01/1990,05/07/2026,3.1,POS
Budi Santoso,081298765002,budi.santoso@gmail.com,Jl. Sudirman No. 45,Jakarta,3171021002850002,10/02/1985,10/03/2026,15.7,CRM
Budi Santoso,81298765002,budisantoso@gmail.com,Jl. Jend. Sudirman 45,Jakarta Pusat,3171021002850002,10/02/1985,22/06/2026,6.4,E-commerce
Andi Wijaya,081355512003,andi.w@yahoo.com,Jl. Diponegoro 8,Surabaya,3578031503880003,15/03/1988,11/01/2026,9.8,Signup Form
Andy Wijaya,081355512003,andi.wijaya@yahoo.com,Jl. Diponegoro No. 8,Surabaya,,15/03/1988,19/05/2026,11.3,CRM
Dewi Lestari,082144478004,dewi.lestari@mail.com,Jl. Gatot Subroto 21,Medan,1271056004920004,20/04/1992,03/02/2026,7.6,CRM
Rina Marlina,085677789005,rina.marlina@outlook.com,Jl. Asia Afrika 100,Bandung,3273065505950005,15/05/1995,14/04/2026,18.9,E-commerce
Agus Salim,081833345006,agus.salim@gmail.com,Jl. Pahlawan 3,Semarang,3374071206870006,12/06/1987,25/03/2026,5.2,POS
Fitri Handayani,087788856007,fitri.h@mail.com,Jl. Veteran 17,Yogyakarta,3471082507930007,25/07/1993,17/05/2026,13.4,Signup Form
Joko Prasetyo,081222290008,joko.prasetyo,Jl. Merdeka 55,Solo,3372093008910008,30/08/1991,09/06/2026,10.1,CRM
Maya Sari,0813444,maya.sari@mail.com,Jl. Ahmad Yani 12,Malang,3573104409940009,44/09/1994,21/02/2026,4.8,E-commerce
Hendra Gunawan,081599912010,hendra.g@gmail.com,Jl. Imam Bonjol 7,Denpasar,5171112810860010,28/10/1986,13/06/2026,950,POS
Lina Kartika,082377734011,lina.kartika@mail.com,Jl. Thamrin 88,Jakarta,3172120311960011,03/11/1996,30/01/2026,8.8,CRM
Rudi Hartono,,rudi.hartono@yahoo.com,Jl. Hayam Wuruk 9,Surabaya,3578131512890012,15/12/1989,08/05/2026,14.2,Signup Form
Sri Wahyuni,085288845013,sri.wahyuni@gmail.com,Jl. Kartini 4,Semarang,337414180197001,18/01/1997,26/06/2026,6.9,CRM
Dian Puspita,081766623014,dian.puspita@mail.com,Jl. Cendana 30,Bogor,3201152202980014,22/02/1998,04/07/2026,12.0,E-commerce
Eko Saputra,081344467015,eko.saputra@gmail.com,,Bekasi,3216160503840015,05/03/1984,15/06/2026,7.3,POS
Nur Hidayah,089655578016,,Jl. Anggrek 6,Tangerang,3603171004990016,10/04/1999,27/04/2026,16.5,Signup Form
Rina Marlina,0856-7778-9005,rina.marlina@outlook.com,Jl. Asia Afrika No. 100,Bandung,3273065505950005,15/05/1995,01/07/2026,9.4,CRM
Tono Sucipto,081277756017,tono.sucipto@mail.com,Jl. Rajawali 2,Palembang,1671182008820017,20/08/1982,05/03/1970,11.8,CRM
Wati Susanti,082988890018,wati.susanti@gmail.com,Jl. Garuda 14,Makassar,7371192509900018,25/09/1990,19/06/2026,13.9,E-commerce
Yusuf Rahman,081455534019,yusuf.rahman@mail.com,Jl. Cempaka 11,Padang,1371203012950019,30/12/1995,23/05/2026,10.6,POS
Zainal Abidin,087811123020,zainal.abidin@yahoo.com,Jl. Flamboyan 25,Pekanbaru,1471210201930020,02/01/1993,29/06/2026,15.1,CRM
